Username,Comment
@megamasha,"Anyone else just get stuck at adding the List Group? Everything's fine at 23:19, but then after following all the instructions (and double- and tripple-checking my changes), the page is blank at 24:38. If I include a ListGroup component in the page, the page is blank. If I remove it and just put a simple tag lilke h1, it still displays fine."
@Hari983,Amazing tutorial. Great flow and easy to understand while still being well-detailed.
@udaym4204,can you share your cs code theme always love your video Mosh Thank you .
@TheDragonchecker,"Awesome tutorial, thank you so much!"
@bharatihattikal,i have  one application  where i need to add the some api's which will impact the   complete app how can
@wildpett,Great tutorial -- very practical .... thx for posting
@anikait2953,The soundtracks used in the video between different parts give a very positive vibe
@bohanwang-nt7qz,"🎯Course outline for quick navigation:

[00:02-01:42]1. Ultimate react course
-[00:22-00:53]React course with production-grade video games app, including dark/light modes and search/filter features.
-[01:04-01:42]Upcoming react course covers advanced topics like routing, state management, authentication, and more, by mosh hamadani, a software engineer with over 20 years of experience.

[01:43-16:33]2. Learning react and setting up development environment
-[02:14-02:39]Learning react using typescript can catch errors early, saving time and headaches.
-[02:59-04:06]React, the most widely used javascript library, simplifies front-end development by creating and updating dom elements efficiently.
-[04:50-05:17]Setting up development environment with react, requiring node version 16 or higher. node version on the machine is 19.
-[06:32-07:03]Comparing create react app (cra) and vite for app creation, with vite being faster and providing smaller bundle sizes.
-[14:18-15:14]Import message component, use self-closing syntax, hmr for automatic refresh.

[16:34-26:18]3. React fundamentals & complete course overview
-[16:34-17:22]Jsx simplifies ui description, react uses virtual dom to update state.
-[18:53-19:19]React is a versatile javascript library for building uis across platforms.
-[21:07-21:34]Fundamental concepts of react applications covered, including building components and managing state.
-[21:54-22:17]Using bootstrap, a popular css library, version 5.2.3 for styling applications.

[26:18-38:24]4. React jsx formatting, rendering, and basics
-[26:18-26:47]Configured predier as default code formatter for typescript jsx files, improving formatting and automatically wrapping jsx markup in parenthesis.
-[28:21-28:53]Using a fragment instead of an extra div in react for efficiency.
-[30:14-30:46]In jsx, use the map method for converting items to a different type.
-[32:25-32:55]Each list item should have a unique key prop in react to enable dynamic updates.
-[34:09-34:59]Reformatted code with 3dr, reduced duplication using jsx expressions instead of if statement.

[38:25-44:03]5. React event handling
-[38:25-39:20]React developers use dynamic rendering. added bootstrap class to items. implemented click event handling.
-[40:04-41:23]Using item as key, logging item and index, observing browser event in react
-[41:48-42:21]For complex logic, move it into a separate function to maintain clarity and organization.
-[43:16-43:49]Type annotation in typescript specifies variable types, enabling access to properties of objects.

[44:04-01:01:01]6. React fundamentals and event handling
-[44:04-44:32]Function handle click is referenced to handle click event in react.
-[45:51-46:23]Checking selected index to add classes dynamically.
-[46:24-48:07]Handling click event, using usestate hook for state management.
-[47:35-48:07]State hook in react allows managing changing component data, initialized with a value of -1.
-[48:22-48:53]React's updater function notifies changes in component state, triggering dom updates.
-[49:38-50:34]Using react to manage component state for dynamic updates.
-[51:31-52:20]Using typescript interface to define object shape with items as array and heading as string.
-[55:13-55:40]Avoid logic in list group for reusability. notify app component when item is selected.
-[56:46-57:11]Typescript compiler helps catch potential problems early on
-[57:38-59:03]Passing item as function argument, updating state, and difference between props and state.
-[59:42-01:00:12]React components can have changing state and props, which trigger re-rendering and updating the dom; passing children to components is also possible.

[01:01:01-01:19:56]7. React components in action
-[01:04:50-01:05:44]Using children prop, passing html content to alert component. react dev tools for inspecting and analyzing react applications available for chrome, firefox, and microsoft edge.
-[01:09:21-01:09:49]Using interface to define props shape, setting children type to string, rendering children.
-[01:10:50-01:11:16]App component error fixed with inline function, logging clicks, and implementing button color.
-[01:13:00-01:13:26]Using typescript to catch bugs early, by setting type to string literal 'primary' for button component.
-[01:19:19-01:19:48]Complete react course: 8 hours of content, exercises, cheat sheets, and 30-day money-back guarantee.

offered by Coursnap"
@leeeric6292,06:50 Don't understand why don't directly  done the setup in vscode terminal at the very beginning?
@bartosz9476,F*** this is so complicated
@chakradharreddy7954,Any one need react js support please contact me….
@user-td6gb7td9g,This is very helpful and easy to understand.
@walius1988,This was my very first tutorial for React and I loved it. I am a back end developer and I want to learn React.
@anushkumarsellamuthu9203,Good course which helps to get started with the basics of react 👍
@senju31,I just finished the paid course and I must say it was great. I have been using regular/plain JavaScript for years and was holding out on learning React. This was a great introduction and was very digestible. Much love from Jamaica!
@azubukopeter8884,if you have tried taking up react on udemy the made it so difficult but this instructor is smooth wow iim excited but i wish it was on js instead of type script
@stivomoses8882,"i'm encountering the following error message: 
> error syscall spawn C:\Windows\system32\
> error path C:\Users\Steve
> error errno -4058
> error enoent spawn C:\Windows\system32\ ENOENT
> error enoent This is related to npm not being able to find a file."
@kekiir,How to stop prittier to wrap line breaks?
@ddam712,an add ever 4 minutes is too much but great content
@fase8729,01:00:00 Passing Children
@loky324,"Thanks a lot, I had a lot of fun learning with your video! "
@MichaeljMr,"Thank you Mosh, took me a couple days to complete this first video, I watched it over the weekend without coding along and rewatched it over the past 2 days to try the button and alert solution myself (failed miserably :p)... it's just a case of trying to remember the syntax and how to build components consitently. I just bought your react 18 for beginners for 17 eu which is a fair price for 8 hours of content. Might consider subscribing for a couple months after I complete this first one - will see how it goes! Looking to finally switch careers and become a software developer - hope this will be the boost in knowledge I need to launch my new carreer! Cheers and best of luck!"
@huhtis6087,"Hey Mosh and thank you for great tutorial. In this tutorial I also learned how to create connect on VS Code to my Ubuntu-server and create these application to there. But I have a question. in Button component, why my bootstrap is not working. My code is identical to your code, but still button is basic Black and white button. className (property) says ""undefined"" but other classNames has been worked well."
@miamoto5040,You put into one and a half hour what other creators put into 10-11 hours.
@amitbt69,Great Tutorial! thanks.
@jabo-8600,Does the hook work in same file as the interface props?? Because me it is generating an error everytime I try to combine them is there any assistance I can get??
@bountyhunter96,"For me, the beginning ""00:06:24 Creating a React App"" only works if I open main.tsx and remove the curly brackets around ""App"" in the import line, why is that?"
@santoshs988,"Getting an error to strat dev server

PS C:\Windows\System32\React-app_v01> npm run dev

> react-app-v01@0.0.0 dev
> vite

failed to load config from C:\Windows\System32\React-app_v01\vite.config.ts
error when starting dev server:
Error: EPERM: operation not permitted, open 'C:\Windows\System32\React-app_v01\vite.config.ts.timestamp-1705833923925-3e49e4e26caff.mjs'
    at async open (node:internal/fs/promises:633:25)
    at async Object.writeFile (node:internal/fs/promises:1212:14)
    at async loadConfigFromBundledFile (file:///C:/Windows/System32/React-app_v01/node_modules/vite/dist/node/chunks/dep-9A4-l-43.js:68381:9)
    at async loadConfigFromFile (file:///C:/Windows/System32/React-app_v01/node_modules/vite/dist/node/chunks/dep-9A4-l-43.js:68240:28)
    at async resolveConfig (file:///C:/Windows/System32/React-app_v01/node_modules/vite/dist/node/chunks/dep-9A4-l-43.js:67841:28)
    at async _createServer (file:///C:/Windows/System32/React-app_v01/node_modules/vite/dist/node/chunks/dep-9A4-l-43.js:60327:20)
    at async CAC.<anonymous> (file:///C:/Windows/System32/React-app_v01/node_modules/vite/dist/node/cli.js:764:24)
PS C:\Windows\System32\React-app_v01>"
@survivelikehoneybadger,As an Angular developer it hurts me bad to see js code mixed within template and function names in PascalCase 😭
@_KimAngell,0:25 the way that monitor was shaking 💀
@gugisterka,"One of the best ways to explain coding things I've ever heard!! Mosh, you're genius "
@Involvedplays,God this guy puts so many ads on his video. Skipped
@ilyas8523,"Great video, thank you"
@razawanr5035,Bravo best 🩷
@zisanmahmud23,30:07
@samuelgesang7394,Do you still have to import { Fragment } to use fragments?
@martezcarr5886,"Running on Windows and I cant select using arrow keys, so im stuck at the beginning"
@SegmentationFaultCoreDumped,Did anyone else notice the Like Button light up when he said 'like button' around 4:33
@bobbyb6412,"can't even get Hello World to show up, so depressing"
@ktl0113,"this is really amazing, but also really fast! even seems like you increase the speed of your recording? I have to pause all the time to copy your moves next to the video.. so for me being new to react - as constructive feedback, it could be a few steps slower. thanks for the great work <3"
@mohamadjijan2486,"Hi
Sorry but where is the games website you said about in the start of this video
I only saw some alerts and buttons
No database and nothing mire than complex solutions for simple mission
Sorry again but I expected something else"
@AF-bn3ps,I wish this was in JAVASCRIPT :(.
@YoussefMohamedOfficial,any body noticed in 04:34 the like and dislike button shines!!
@LoeRL1,"Great tutorial but the price for the course in the website is ridiculous. I would love to buy the course but when compared to other prominent web tutors, the price is just not competitive. When the UK tax is applied for the delivery??? it becomes even more unattainable. 
Would love to see the whole course, maybe one day but not at this price."
@hulk8254,bad
@user-iv1oz2hx9u,Is this course usefull for beginners
@thatohlatshwayo5032,Thank you Mosh!! You are the best!!!
@daminisuthar9790,Absolutely well defined and amazing content.  Finally got something which is easy and quick video to refresh React.
@Ben-pg5yl,"Personal timestamp:
1:07:30"
@muzammalhussain4887,"hy mosh!
I'm your big fan. I'm able to have a job just because of you. Whenever i want to learn something new I fist search wether you have uploaded that course or not. I have completed your nodejs course and now I want to start nestjs. But unfortunately you have not recorded that. I hope you will soon look into that. 
Best wishes from Pakistan.
Regards: Muzammal Hussain (nodejs developer)"
@enikhila9906,The best video ever!!!!!!!
@guy1407,"Thanks for the video mosh
Can you please tell us which extension told you the errors (e.g time = 57:06)"
@doublewhopper67,Another panacea video.... You feel good after staring blankly at it... But the next day realise you hadn't retained a thing. 😂.
@neoblackcyptron,"I tried deploying my app built with ReactJS+ TypeScript and Vite.  It does not play well at all on AWS EC2.  Vite was throwing many errors. I hope I can build a new project without Vite,  just with ReactJS and Typescript. My official Launch was 1st Jan 2024. But now it is not possible anymore. Other than that everything in this tutorial was good.  I think I will just put the UI alone and setup my Website. for now. Will have to do the painfull process of either working with vanilla ReactJS or anything else out there to fix this issue. Hopefully I won't have to rework my AI Webservice integration.s"
@desonglll,Excellent!!!
@Tamizh...,.
@Drian12_1-pn3oi,Really good course fun and interactive usually i get bored with other courses on YouTube and lose interest but with Mosh its very nice and fun. I would love to purchase your monthly sub however the only thing that is missing that I need is Laravel. Will you ever create Laravel course? Thanks
@ryanhassan2232,Took me little more than 1 hour but I’ve finished it
@PongGod,"Kudos for putting together such an excellent tutorial. This is one of the extremely rare instances where I went through an entire programming tutorial and everything actually worked! So many times I run into problems where things aren't working on my end the way they do in the tutorial, which forces me to spend a bunch of time trying to figure out what went wrong, mounting frustration, and ultimately just giving up. Really excited about incorporating React into my web development for enhanced user experiences!"
@pennyklen4973,Why Typescript though?
@sexvvn,Can i get fundamental of React if watch only this 1 hour tutorial?
@lucyintheskyfull,Very concise class! Good job!
@user-sn6kf1zu2e,cool video)
@wrightian5291,Thank you ❤
@katetn211,"00:38:36 Handling Events
'event' is deprecated warning
I solve this problem:


function handleClick(event: React.MouseEvent<HTMLLIElement, MouseEvent>) {
  console.log(""Button clicked"");
  console.log(event);
}
function ListGroup() {
  let items = [""Venice"", ""My Tho"", ""Nha Trang"", ""Ho Chi Minh""];
  // items = [];

  // const getMessage = () => {
  //   return items.length === 0 ? <p>No item found.</p> : null;
  // };

  return (
    <>
      <h1>List of City</h1>
      {/* {getMessage()} */}
      {/* {items.length === 0 ? <p>No item found.</p> : null} */}
      {items.length === 0 && <p>No item found.</p>}
      <ul className=""list-group"">
        {/* <li className=""list-group-item"">An item</li>
        <li className=""list-group-item"">A second item</li>
        <li className=""list-group-item"">A third item</li>
        <li className=""list-group-item"">A fourth item</li>
        <li className=""list-group-item"">And a fifth one</li> */}
        {items.map((item, index) => (
          <li
            className=""list-group-item""
            key={index}
            onClick={(event) => handleClick(event)}
          >
            {item}
          </li>
        ))}
      </ul>
    </>
  );
}

export default ListGroup;"
@RassTheCyberCat,thanks for the effort i really appreciate it. but i'm gonna give it a dislike because it's vague some parts are a bit hard to understand as a beginner. damet garm
@Japan-informer,"Teaching React using typescript is such a bad move. Can't understand what the logic behind that so at this point I think it is just because it is your own preference. A big ""GFY"" to people wishing to learn react. :("
@88starkiller,"I work as java backend dev for a couple of years now and I would like to learn frontend, I worked with C++, C# and couple of other languages, even built some native mobile apps in java / kotlin....to me..javascript and typescript seem like they were written by satan himself, fuck me this will be interesting journey..."
@Saldymedis,Thank you!
@user-kt2rf1ny5d,"Did someone else notice the like button getting colored when he said ""like button"" on 4:35 ?"
@caglayagmurr,25:30 in windows you can press ctrl + shift + L to select all of them at once.
@garynguyen7992,The Mosh way of teaching! Great!
@Dmitry-cb7wl,"The cover is misleading. In fact, this is 1/10 of the paid course, which is only mentioned at the end, when you spend an hour of time."
@tmstechschool7239,"Thank you, for beginner on react like this is helpful. I have one doubt on your comparison of Props and State. you said State is mutable, I think it is not if I am not mistaken. that is why states return the variable and set variable function to not directly mutate the variable, thank you"
@smoother3755,"A help. I purchased his 'Beginner react course' and I wanna purchase the 'Intermediate react course' too. But it is not allowing me to purchase only the 'Intermediate Course', it is making me purchase both the courses again. Please help."
@tonytodd7011,"Thanks Mosh, it must be a great video!"
@uuuummm9,I thought that we will build that beautiful UI (game library navigation) in one hour. 😢
@mikhailbogovalov2330,great introduction!
@davitderdzyan2447,Awesome ❤‍🔥❤‍🔥❤‍🔥
@mzolisidywili2230,"If your VS Code isn't recognising the .tsx file and shows the TS icon, install the 'vscode-icons' extension"
@vivekt23,21:33 Creating List Group Component
@windrago,awesome tutor!
@pawe8713,"Far better channel than freeCodeCamp. Unline the second one, Mosh is explaining everything as he goes. Doesn't skip things that might be hard but eventually are important to understand the topic."
@danielb4765,Which VS Code (icon) theme are you using? :)
@livingmyselfinthehouse,"For conditional rending at 38:34, isn't it better to have null to be more easily readable?"
@AdamTheGreatBaby,so excited to buy all your courses even my husband who has 16 years of experience had told me that he thinks that you are the best programming teacher
@user-hd8wr9ed6b,Thank you
@mohamadhammoud4785,Which vs code theme are you using?
@user-ve9py5yy6t,cool video)
@nikohamil538,"Hello there.
I would like to ask you a probably silly question.
What if we first have a ""Main Menu"" at the center of the screen ?
Say something like:
Games     Music     Movies
and by clicking ""Games"" we select the Games app (or better the Games section)
by clicking Music we go to the Music one and so on ?
Could it be done with React or Angular is better ?
Thanks"
@VTski3r,Has anyone else experienced the hmr update not automatically working?  To view changes to the webpage I need to open up a separate live server which forces an hmr update in the terminal.  I then close the live server and view my webpage.  This doesn't seem like it should be necessary but I'm not sure how to get it to hmr on its own
@waltermelo1033,"I made the alert hiding a bit different. i added a .d-none class to it when the prop ""visible"" is false."
@JensonMJohn,"Good Tutorial. 
One small thing to share Please enable ""Word Wrap"" in VS Code So that All Codes will be Visible on the Screen. Thanks."
@jessefinnegan1719,Excellent tutorial.  Hopefully it will be enough to get me a new developer job (lost my old one in October) because I'm so going to get the full course when I can afford it.
@sanketpawar3429,Thank you
@Misica11000,"Wow,i recomend his full course to everyone who wants to work with React,i download it from pirate bay for free,its an amazing full course..."
@rassta35,aaaaand i'm lost at 30:36. makes me angry that i can't learn something so simple
@Waqas03215,Hello Mosh this course is great now I want to know when you are going to upload the 2nd part of this video?
@fido9745,"I was confused about using a <Fragment> instead of a <div>, but I looked it up on google and found In React, ` ""Fragment"" and ""Div"" are used interchangeably. The main difference between the two is that ""Fragment"" clears out all extra divs from a DOM tree while ""Div"" adds a div to the DOM tree. With React Fragments, we can create code that is cleaner and easier to read. `"
@johnfoon1781,"Awesome video, but i am intrigued by the mac terminal theme. Do you mind sharing the setup and can it be setup for bash?"
@mohsinjawad5843,Thank you sir 😘😘😘
@fido9745,4:33 Did anyone notice the like button effect on the youtube page? %$#Q^@$^%^%^&#$&^#^
@sgorneau,This has to be the best hour and 20 minutes of learning on YouTube! You are an excellent teacher! I hope you know how helpful and clear your style is.
@utsavsutariya4225,"Thanks brother, loved it !  ❤"
@0596sami,"I'm getting this error:
Error: Event handlers cannot be passed to Client Component props.
  <li className=... onClick={function} children=...>
                            ^^^^^^^^^^
If you need interactivity, consider converting part of this to a Client Component."
@yoshan9159,Hello World not shown only display blank page what I have to do ?
@ramdaneoualitsen1323,Very helpful Thanx a lot Mosh!
@KyleMaxwell,I'm an engineering manager recently hired into a full-stack team that uses React - this was a great taste of how React works to give me a better sense of it!
@mrgameswill8958,Thank you for an excellent tutorial. I have just bought the full course <3
@sdash2023,Yeah his courses are bullshit in udemy. I wasted money on his 1 course in udemy. Why vit man? Why couldn't you go with standard so that we could use it in our office?
@1ilango1,"Mosh, You are a life saver !"
@pokotyec,"Hey, what do you use for editing your videos?"
@juancamilopenaranda9630,"this is a wonderful course, i like it but, do you have a react and javascript course?"
@adarshdhandayuthapani4027,Thanks!
@honzosaurus42069-no_furry,"Thanks for this, really useful."
@VapidVulpes,"this is the exact tutorial i need, but my thumbs up is even more for that subtle youtube thumbs up button highlight when you mention the icon in the tutorial. Classy!"
@losmilosmi1917,Thanx for this nice tutorial! BTW how come your comments are grey?
@HaifengZhu-pn3uq,"my favorite tutor, I like your explanation"
@ichig085,I'm a complete beginner with a pretty basic understanding of JS. I'm gonna do the course and see how it is.
@joeking5211,"Thks for your superb tutorial. I understood that React is one of the languages of the moment and have never seen any coding in it before hence chose this vid. I would just like to say I have programmed in C since the late '70's and there were people the world over at the time knocking it for being complex and confusing. Well, I;d just like to say here we are nearly 50 years on and I'm looking at a pile of bastardised HTML junk thrown together in almost unreadable and convoluted form, what total and utter morons ever sat down and conceived this absolute shite, more of a question what meds were they on. What an absolute abortion of language for 2023. Could they have made this any more of a complete mess if they actually tried, I feel not,  And think about how C was knocked for this way back then,  Who the hell comes up with these ideas and syntax, in the first 30mins of the tutorial I can't come up with anything that could be added to make it more obfuscated, so they really have done an excellent job in that department.
Your superb vid has made me aware of what React is ( or perhaps more is not ) and I am gobsmacked which is why I had to throw my bit in here, Who in their right mind would ever go anywhere near this junk when there are so many alternatives out there these day, I feel a quick vid on that would be very interesting as this is for sure strictly for the masochists to ever think about bothering with, and Why would you ???????????.
Thks again and 10/10 on your part but -10/10 for the state of React, have given Thumbs up for the vid, you certainly deserve it having to deal with it so deeply. Kind Rgds. Truly Stunned."
@astraea926,"“Learn react in one hour” doesn’t even explain the basic function syntax, he just outright uses it without explaining lmfao."
@hemantkumardas3333,Thanks sir...
@kris_gpt,"In 34:25 you say there is duplication in code and you will show a different way to achieve the same result. But the result is actually completely different. When you used if statement, you displayed either of two outcomes. After making condition in your ""simpler"" way you display both ! It is not visible as you used empty array, just use your list of cities and make some other condition :/"
@TheCalmer,"A1 1:20:03, I have a question.  When you had the Props property earlier and you said name: string, in the App.tsx file you said name=""me"" to pass the property to the component, but when you have children: string, how come you don't write something like children=""...""??"
@HrissW,Has anyone bought his react course or no? is it valid?
@DashingChannel,4:33 Just look at like buttons if your watching on your laptop. Something amazing will happen
@potatas_,one of the best channel
@TheCalmer,how do you get the import statement added automatically?  When I type useS there is no autocomplete and even when I type useState the import statement doesn't get added automatically.
@GambaBebum,"Tip, don't use react."
@qiupprogramme4484,Thank you for the video. Where can I find the 2nd part ?
@personnumber42,"Great tutorial! Extremely helpful. 

One question - how do you get the react hooks to auto-complete and auto-import? Didn't see that covered. Not sure if it is a different plugin or setting for Sublime Text (editor I'm using), but it seems packages are generally the same. Google isn't helping very much!"
@user-ix3wl2iu6i,"than you for this content i really appreciate it, but this title is really misleading!"
@peterwan1808,The Ctrl + D shortcut to find the next occurrence of a word was such a neat trick! Really enjoying the lesson - thank you!
@ifennaokoye636,Do you have this exact course but with JavaScript??
@altom_weightlifting,I've been developing for a few years and your style of tutorials are some of the best that i've come across. Thank you!
@smurffronda2951,Thank you!
@tootytooty5135,Really good. I got the full course
@qasimalikan3559,"Love watching it, very useful concepts explained in a best way."
@user-se3th7mz8e,He cheats viewers by giving the wrong msg in thumbnail saying all the content in one video .. and he tries to push users to buy his course for the rest of the contest... Although Mosh is a great lecture but at the same time misleading the thumbnail and wasting users time dear mosh please do not do this!
@iosifpuha6114,is everybody's HMR working? Because mine is not. I have to manually restart the server with the shortcut <r> in order to see the changes
@verywellrounded,Transitioning from backend to full stack development a few years ago. Been developing react apps for the last two years. I picked up several neat shortcuts and several key takeaways for a project I am building from scratch now. Thank you!
@blitzritter7867,"This is a great course, well structured, not too fast and in depth explanations"
@sajit_panta,Thank you very much
@abdulrahmannofal5579,1:00:04
@ero3535,man i fucking hate react youtubers
@AkamiChannel,"Missing a link to a git repo in the description. Tutorials without repos deserve a special place in the afterlife, and not a good one. I don't know if you have a repo with this tutorial or not, but I'm not taking any more time to find out because I have a strict no tolerance policy regarding that and I'm not spending more time to find out. Just giving honest feedback for why I'm disliking the video."
@ooAdam-ui4fs,First monitor I’ve ever seen dancing while doing code.   0:28
@SirBaited,My like button literally just went rainbow
@abdulwarissherzad9914,I just wanted to let you know that your last-minute was is unclear.
@hossiniproduction6196,Can you create one with CRA cause I am just starting with react and my professor tells me I need to learn CRA first then Vite.
@khalidtubail,"I am trying to buy React 18 for Beginners & React 18: Intermediate Topics, but it kept telling me the Incorrect CVC code, which is correct?"
@secretr5024,Amazing tutorial
@vasconcelosjean42,the best video ever
@KillerEike,"Very good tutorial for newcomers to React, thank you"
@abdulwarissherzad9914,"Thank you for ""React Tutorial for Beginners"", I love your explanation, and thanks that while playing your video series, I haven't seen an advertisement."
@Vlight.,this is great 👍 I love the videos sir
@albertomolina1574,"Very nice, thanks"
@kavorka8855,Hi and thank you for the excellent tutorial! But shouldn't the visibility of the alert be handled in the Alert component? Like the closing of the alert? Thank you so much!
@DesazMusicYt,Nothing fucking works on my pc....I follow everything!
@techspan101,you told in the beginning that you will be using typescript. But you are also using vscode. I am confused. please help!
@jooblia,50:55
@Durowave,Wow! We are a RnD Team we also watch your videos to lean coding. Thanks Mosh
@infomattersmost,"Brian need some help in understanding.  I created a website on for example a Wix type platform.  I was trying to implement a paypal subscription setup for payment, and it was not working.  So I hired someone, and they said it was impossible for the paypal subscription to be done because the Wix type platform was limited and Wix only lets users needs go but so far.  The guy i hired recommended he build me a React website and that he would deploy the React website on AWS.   Here is the problem, everytime I need something done to the website I have to contact him.  And obviously that will cost money for every little thing.  I told him its not right that i don't have complete access to the website that i paid him for.  He said he would create me a admin login so that i can do things like add products, edit text, add pictures.   I told him that works but to setup the admin that I would have full access to the code.  He said that is not possible.  Is he lying?  I mean how can I own my own website but not have access to the full code.  What happens if this guy gets hit by a car and dies, what then?  How will I be able to get full access to my website?  How about if I wanted to hire someone to add a Carousel Slideshow, and the person I hired needed access to the code, If i don't have access to the code, how can the person I hired have access?   I feel like i have no control over my website, and if i ever had a serious problem with this guy he could easily remove the website from the web and screw me over. I am sure as you are reading you already have an idea of whats going on and what I need to say to this guy.   Help please,"
@RohanRegar-zd5xl,does anyone has the download link to this entire course??
@Ruin3.14,"Thank you, just got a job that uses React and I needed a refresher. Great video!"
@miladesmailpour192,"great quality content, but as soon you subscribe to their website they keep charging you even after unsubscribing. they don't let you delete your credit info and respond the way it is our fault, like we can do anything about the autorenewal, not fix their website issue which is not secure and reliable to add credit info."
@ahmedhamza9277,"great explanations, thankssss"
@pedrolemos806,"Top video, it was like watching tv, loved how plain and simple you explained the concepts. Please keep posting more of this!"
@tilted_realms,Thanks Mosh. Very grateful for all of your courses mate.
@haryagohar,Very useful video for learning React primary steps. Thanks a million.
@yacahumax1431,you give the impression that react HAVE to be used with node. but that is not the case.
@panhuragan4388,why not javascript since 90% use Javascript?
@talrajuan,"Amazing, thank you!"
@breemudi,Too much Ads. makes it hard to follow without getting distracted
@namaefumei,Bootstrap? Lol you gotta be kidding me.
@xternalmega,15:00 that part doesn't show up for me. I would have to rerun the npm run dev command in order for the site to show changes.
@Kidrock87,"Thank you for the tutorial! I have a question, or rather, observation. At 55:02, basically the section of ""Passing Functions Via Props"" while understanding that we can pass functions through props is important. The example's result of logging the item's name into the console could be solved easily with adding 1 line after setSelectedIndex(index); that is: console.log(item); which essentially does the exact same thing :DD

Definitely not me trying to devalue your tutorial video, rather, I'm quite happy that I noticed I could do a little something with how little I know of React thus far.

Thanks for the video again!"
@chetankulthe7878,"nice explanation, very useful for beginner like m"
@mindgauge5727,44:00 You used const handleClick = (event: MouseEvent) => console.log(event); in map so each time its value will be changed. But as far as I know constants don't allow to change its values. Please guide me what's going on here.
@SachinKumar91,Thank you for this tutorial Mosh. Appreciate your time and efforts for making such content.
@dominikawojewska3985,"That's the best React tutorial ever!

I have some questions. in [1:10], when you define props of a button and give it onClick prop, why you write there ""void""? What does it mean?"
@actnowordreamon6774,"That is a great overview. I walk through it, done all exercises and have a better understanding."
@Denimy0,"Anyone here paid for the full react TS course?
if so, please comment your experience. Thanks!"
